Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Corpus of conteporary blogs,https://lindat.mff.cuni.cz/repository/xmlui/handle/11858/00-097C-0000-000E-011B-8,Czech,1 million tokens,tokenised,CC-BY,This corpus contains blog posts.#SEPThe corpus is available for download from  LINDAT.,Download,https://lindat.mff.cuni.cz/repository/xmlui/handle/11858/00-097C-0000-000E-011B-8,,,
SoNaR New Media,https://lindat.mff.cuni.cz/repository/xmlui/handle/11372/LRT-1502,Dutch,35 million tokens,"tokenised, PoS-tagged, lemmatised",,"This corpus contains tweets, chats and SMS from 2005 to 2012.#SEPThe corpus is available for searching online through the OpenSONAR environment.",Concordancer,https://discovery.clarin.eu/?entityID=https%3A%2F%2Fportal.clarin.inl.nl%2F&return=https%3A%2F%2Fportal.clarin.inl.nl%2FShibboleth.sso%2FLogin%3FSAMLDS%3D1%26target%3Dss%253Amem%253A141a9766070375e44f171ce50e0f36af5258d23a431dde232eba1cabf9a37fa4,Sanders (2012),https://www.clarin.eu/resource-families/cmc-corpora#Sanders%202012,
DIDI – The DiDi corpus of South Tyrolean CMC 1.0.0,https://clarin.eurac.edu/repository/xmlui/handle/20.500.12124/7,"English, German, Italian, Ladino","600,000 tokens","tokenised, PoS-tagged, lemmatised",ACA-BY-NC-NORED 1.0,This corpus consists of Facebook posts gathered from 136 Facebook users from South Tyrol. All texts are anonymised.#SEPThe corpus is available for download from Eurac repository,Download,http://hdl.handle.net/20.500.12124/7,Frey et al. (2016),https://www.clarin.eu/resource-families/cmc-corpora#Frey%20et%20al.%202016],
The Mixed Corpus: New Media,http://www.cl.ut.ee/korpused/segakorpus/uusmeedia/,Estonian,25 million tokens,tokenised,,"This corpus contains chat room messages, forum posts and news comments from 2000 to 2008#SEPThe corpus is available for download from dedicated webpage associated with CLARIN Estonia and through a dedicated concordancer.",Concordancer#SEPDownload,http://www.cl.ut.ee/korpused/kasutajaliides#SEPhttp://www.cl.ut.ee/korpused/segakorpus/uusmeedia/failid/,,,
Suomi 24 Corpus,http://metashare.csc.fi/repository/browse/the-suomi-24-corpus-2016h2/eb323320f44d11e6b70e005056be118e30dc4e74e4654a4a8b3e8789ef31c0d0/,Finnish,2.6 billion tokens,"tokenised, MSD-tagged",CLARIN ACA,This corpus contains forum posts from the Suomi24 website from 2001 to 2016.#SEPThe corpus is available for download from the FIN-CLARIN repository and through the concordancer Korp.,Concordancer#SEPDownload,http://korp.csc.fi/#?corpus=suomi24&cqp=[]#SEPhttp://urn.fi/urn:nbn:fi:lb-2017021502,,,
CoMeRe repository,https://hdl.handle.net/11403/comere,French,80 million tokens,tokenised,CC-BY,"This corpus contains e-mails, forum posts, online chats, tweets and SMS.#SEPThe corpus is available for download from Ortolang.",Download,https://hdl.handle.net/11403/comere,Panckhurst (2017),https://www.clarin.eu/resource-families/cmc-corpora#Panckhurst%202017,
Dortmund Chat Corpus,http://hdl.handle.net/11858/00-203Z-0000-002D-ECC7-2,German,1 million tokens,"tokenised, PoS-tagged, lemmatised",CC-BY,This corpus contains online chats from 2000 to 2006#SEPThe corpus is available for download from the repository of CLARIN-D,Download,http://hdl.handle.net/11858/00-203Z-0000-002D-ECC7-2,Beißwenger (2013),https://www.clarin.eu/resource-families/cmc-corpora#Bei%C3%9Fwenger%202013,
LITIS v.1,http://hdl.handle.net/20.500.11821/11,Lithuanian,190000,,CLARIN_ACA,This corpus contains forum posts from portals delfi.lt and lrytas.lt from 2010 to 2014.#SEPThe corpus is available for download from the CLARIN-LT repository.,Download,http://hdl.handle.net/20.500.11821/11,,,
Blog post and comment corpus Janes-Blog 1.0,http://hdl.handle.net/11356/1138,Slovenian,34 million tokens,"tokenised, sentence segmented, MSD-tagged, lemmatised",CC-BY,This corpus contains blog posts from RTV Slovenija and Publishwall.#SEPThe corpus is available for download from the Slovenian repository CLARIN.SI and can be queried through KonText,Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_blog#SEPhttp://hdl.handle.net/11356/1138,,,
Forum corpus Janes-Forum 1.0,http://hdl.handle.net/11356/1139,Slovenian,47 million tokens,"tokenised, sentence segmented, MSD-tagged, lemmatised",CC-BY,"This corpus contains forum posts from Avtomobilizem.com, MedOver.net and RTV Slovenija.#SEPThe corpus is available for download from the Slovenian repository CLARIN.SI and can be queried through KonText.",Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_forum#SEPhttp://hdl.handle.net/11356/1139,,,
News comment corpus Janes-News 1.0,http://hdl.handle.net/11356/1140,Slovenian,14 million tokens,"tokenised, sentence segmented, MSD-tagged, lemmatised",CC-BY,"This corpus contains news comments from RTV Slovenija, Mladina and Reporter.#SEPThe corpus is available for download from the Slovenian repository CLARIN.SI and can be queried through KonText.",Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_news#SEPhttp://hdl.handle.net/11356/1140,,,
Twitter corpus Janes-Tweet 1.0,http://hdl.handle.net/11356/1140,Slovenian,139 million tokens,"tokenised, sentence segmented, MSD-tagged, lemmatised",CC-BY,This corpus contains tweets written by Slovenian Twitter users from 2013 to 2017.#SEPThe corpus is available for download from the Slovenian repository CLARIN.SI and can be queried through KonText.,Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_tweet#SEPhttp://hdl.handle.net/11356/1142,,,
Wikipedia talk corpus Janes-Wiki 1.0,http://hdl.handle.net/11356/1137,Slovenian,5 million tokens,"tokenised, sentence segmented, MSD-tagged, lemmatised",CC-BY,This corpus contains Slovenian Wikipedia user and talk pages.#SEPThe corpus is available for download from the Slovenian repository CLARIN.SI and can be queried through KonText.,Concordancer#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_wiki#SEPhttp://hdl.handle.net/11356/1137,,,
